2021-08-22 13:16:23        METADATA: Unknown types found, no types for AdId, AdvertisementOf, AdvertiserId, AdvertiserOf, DepositNonce, DidMethodSpecId, GlobalId, ProposalVotes, Public, TagCoefficient, TagScore, TagType
You are connected to chain Development using Parami Node v3.1.0-8b5068b-x86_64-macos
bestBlockNum 5141, targetBlockNum 5129
bestBlockNum 5142, targetBlockNum 5130
bestBlockNum 5143, targetBlockNum 5131
bestBlockNum 5144, targetBlockNum 5132
bestBlockNum 5145, targetBlockNum 5133
bestBlockNum 5146, targetBlockNum 5134
bestBlockNum 5147, targetBlockNum 5135
bestBlockNum 5148, targetBlockNum 5136
bestBlockNum 5149, targetBlockNum 5137
bestBlockNum 5150, targetBlockNum 5138
bestBlockNum 5151, targetBlockNum 5139
bestBlockNum 5152, targetBlockNum 5140
bestBlockNum 5153, targetBlockNum 5141
bestBlockNum 5154, targetBlockNum 5142
bestBlockNum 5155, targetBlockNum 5143
bestBlockNum 5156, targetBlockNum 5144
bestBlockNum 5157, targetBlockNum 5145
bestBlockNum 5158, targetBlockNum 5146
bestBlockNum 5159, targetBlockNum 5147
bestBlockNum 5160, targetBlockNum 5148
bestBlockNum 5161, targetBlockNum 5149
bestBlockNum 5162, targetBlockNum 5150
bestBlockNum 5163, targetBlockNum 5151
bestBlockNum 5164, targetBlockNum 5152
bestBlockNum 5165, targetBlockNum 5153
bestBlockNum 5166, targetBlockNum 5154
bestBlockNum 5167, targetBlockNum 5155
bestBlockNum 5168, targetBlockNum 5156
bestBlockNum 5169, targetBlockNum 5157
bestBlockNum 5170, targetBlockNum 5158
bestBlockNum 5171, targetBlockNum 5159
bestBlockNum 5172, targetBlockNum 5160
bestBlockNum 5173, targetBlockNum 5161
bestBlockNum 5174, targetBlockNum 5162
bestBlockNum 5175, targetBlockNum 5163
bestBlockNum 5176, targetBlockNum 5164
bestBlockNum 5177, targetBlockNum 5165
bestBlockNum 5178, targetBlockNum 5166
bestBlockNum 5179, targetBlockNum 5167
bestBlockNum 5180, targetBlockNum 5168
bestBlockNum 5181, targetBlockNum 5169
bestBlockNum 5182, targetBlockNum 5170
bestBlockNum 5183, targetBlockNum 5171
bestBlockNum 5184, targetBlockNum 5172
bestBlockNum 5185, targetBlockNum 5173
bestBlockNum 5186, targetBlockNum 5174
bestBlockNum 5187, targetBlockNum 5175
bestBlockNum 5188, targetBlockNum 5176
bestBlockNum 5189, targetBlockNum 5177
bestBlockNum 5190, targetBlockNum 5178
bestBlockNum 5191, targetBlockNum 5179
bestBlockNum 5192, targetBlockNum 5180
bestBlockNum 5193, targetBlockNum 5181
bestBlockNum 5194, targetBlockNum 5182
bestBlockNum 5195, targetBlockNum 5183
bestBlockNum 5196, targetBlockNum 5184
bestBlockNum 5197, targetBlockNum 5185
bestBlockNum 5198, targetBlockNum 5186
bestBlockNum 5199, targetBlockNum 5187
bestBlockNum 5200, targetBlockNum 5188
bestBlockNum 5201, targetBlockNum 5189
bestBlockNum 5202, targetBlockNum 5190
bestBlockNum 5203, targetBlockNum 5191
bestBlockNum 5204, targetBlockNum 5192
bestBlockNum 5205, targetBlockNum 5193
bestBlockNum 5206, targetBlockNum 5194
bestBlockNum 5207, targetBlockNum 5195
bestBlockNum 5208, targetBlockNum 5196
bestBlockNum 5209, targetBlockNum 5197
bestBlockNum 5210, targetBlockNum 5198
bestBlockNum 5211, targetBlockNum 5199
bestBlockNum 5212, targetBlockNum 5200
bestBlockNum 5213, targetBlockNum 5201
bestBlockNum 5214, targetBlockNum 5202
bestBlockNum 5215, targetBlockNum 5203
bestBlockNum 5216, targetBlockNum 5204
bestBlockNum 5217, targetBlockNum 5205
bestBlockNum 5218, targetBlockNum 5206
bestBlockNum 5219, targetBlockNum 5207
bestBlockNum 5220, targetBlockNum 5208
bestBlockNum 5221, targetBlockNum 5209
bestBlockNum 5222, targetBlockNum 5210
bestBlockNum 5223, targetBlockNum 5211
bestBlockNum 5224, targetBlockNum 5212
bestBlockNum 5225, targetBlockNum 5213
bestBlockNum 5226, targetBlockNum 5214
bestBlockNum 5227, targetBlockNum 5215
bestBlockNum 5228, targetBlockNum 5216
bestBlockNum 5229, targetBlockNum 5217
bestBlockNum 5230, targetBlockNum 5218
bestBlockNum 5231, targetBlockNum 5219
bestBlockNum 5232, targetBlockNum 5220
bestBlockNum 5233, targetBlockNum 5221
bestBlockNum 5234, targetBlockNum 5222
bestBlockNum 5235, targetBlockNum 5223
bestBlockNum 5236, targetBlockNum 5224
bestBlockNum 5237, targetBlockNum 5225
bestBlockNum 5238, targetBlockNum 5226
bestBlockNum 5239, targetBlockNum 5227
bestBlockNum 5240, targetBlockNum 5228
bestBlockNum 5241, targetBlockNum 5229
bestBlockNum 5242, targetBlockNum 5230
bestBlockNum 5243, targetBlockNum 5231
bestBlockNum 5244, targetBlockNum 5232
bestBlockNum 5245, targetBlockNum 5233
bestBlockNum 5246, targetBlockNum 5234
bestBlockNum 5247, targetBlockNum 5235
bestBlockNum 5248, targetBlockNum 5236
bestBlockNum 5249, targetBlockNum 5237
bestBlockNum 5250, targetBlockNum 5238
bestBlockNum 5251, targetBlockNum 5239
bestBlockNum 5252, targetBlockNum 5240
bestBlockNum 5253, targetBlockNum 5241
bestBlockNum 5254, targetBlockNum 5242
bestBlockNum 5255, targetBlockNum 5243
bestBlockNum 5256, targetBlockNum 5244
bestBlockNum 5257, targetBlockNum 5245
bestBlockNum 5258, targetBlockNum 5246
bestBlockNum 5259, targetBlockNum 5247
bestBlockNum 5260, targetBlockNum 5248
bestBlockNum 5261, targetBlockNum 5249
bestBlockNum 5262, targetBlockNum 5250
bestBlockNum 5263, targetBlockNum 5251
bestBlockNum 5264, targetBlockNum 5252
bestBlockNum 5265, targetBlockNum 5253
bestBlockNum 5266, targetBlockNum 5254
bestBlockNum 5267, targetBlockNum 5255
bestBlockNum 5268, targetBlockNum 5256
